Timestamp,StartFinish,Time,Like,Interest,Concentration,Calmness,Stress,Comment
2018-0309 18:41:19,0,0,12,43,76,43,12,
2018-0309 18:41:20,0,1,23,67,53,42,32,
2018-0309 18:41:21,start,2,54,87,53,64,54,1
2018-0309 18:41:22,0,3,76,98,63,7,65,
2018-0309 18:41:23,0,4,45,76,85,87,76,2
2018-0309 18:41:24,0,5,22,64,97,4,87,
2018-0309 18:41:25,0,6,31,54,46,32,97,5
2018-0309 18:41:26,0,7,76,53,76,4,56,
2018-0309 18:41:27,0,8,86,53,24,54,46,5
2018-0309 18:41:28,0,9,45,76,12,43,35,
2018-0309 18:41:29,0,10,34,35,12,45,34,5
2018-0309 18:41:30,0,11,52,24,21,67,24,
2018-0309 18:41:31,0,12,6,76,42,87,6,
2018-0309 18:41:32,0,13,45,87,43,98,75,5
2018-0309 18:41:33,0,14,24,97,54,56,87,
2018-0309 18:41:34,0,15,76,56,64,24,87,
2018-0309 18:41:35,0,16,13,45,65,32,5,2
2018-0309 18:41:36,0,17,12,53,76,55,45,
2018-0309 18:41:37,0,18,78,42,79,56,35,
